Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Bến Nứa - Mỳ Chua Cay & Hải Sản Đà Nẵng,-1,-1,"07 Hàng Đậu Đồng Xuân, Hà Nội 110000 Việt Nam",-1,"Hải sản, Cửa hàng thức ăn ngon, Tốt cho sức khỏe, Thức ăn đường phố, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25226933-Reviews-B_n_N_a_M_Chua_Cay_H_i_S_n_Da_N_ng-Hanoi.html
Masterchef restaurant,-1,-1,"123 Mai Hac Đe, Hà Nội 10000 Việt Nam",-1,-1,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9457374-Reviews-Masterchef_restaurant-Hanoi.html
Laos Restaurant,-1,-1,"59 Nguyễn Khánh Toàn, Hà Nội 100000 Việt Nam",-1,Nhà hàng bia,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d26310408-Reviews-Laos_Restaurant-Hanoi.html
Quán Bún Ốc Gia Truyền,-1,-1,"47 Bùi Thị Xuân, Phường Bùi Thị Xuân next to Pots'n Pans, Hà Nội Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11909768-Reviews-Snail_Noodle_Restaurant-Hanoi.html
Espresso street,-1,-1,"14 Hàng Phèn, Hà Nội 10000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/09/c8/f3/a6/getlstd-property-photo.jpg,15.000 ₫ - 60.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9706139-Reviews-Espresso_street-Hanoi.html
Unaoka - うな岡,-1,-1,"Ngõ 1 C7 Trần Huy Liệu Giảng Võ, Ba Dinh, Hà Nội Việt Nam",-1,"Kiểu Á, Quán phục vụ đồ ngọt Nhật Bản, Phong cách ẩm thực Fusion Nhật Bản",,https://www.tripadvisor.com.vn/Restaurant_Review-g23068219-d23992844-Reviews-Unaoka-Ba_Dinh_Hanoi.html
Rapu Hanoi,-1,-1,"2 Đặng Thái Thân, Phan Chu Trinh, Hoàn Kiếm, Hà Nộ, Hà Nội 10000 Việt Nam",-1,"Quầy bar, Cà phê, Kiểu Anh, Quán rượu, New Zealand",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25195111-Reviews-Rapu_Hanoi-Hanoi.html
Shogun Vincom Phạm Ngọc Thạch,-1,-1,"Tầng 5, TTTM Vincom Center, Số 2 Phạm Ngọc Thạch, Hà Nội 100000 Việt Nam",-1,50.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15106586-Reviews-Shogun_Vincom_Pham_Ngoc_Thach-Hanoi.html
Quán cafe Eurosian Coffee,-1,-1,"Lô 114 TT3, Mỹ Dình Sông Dà, Từ Liêm, Hà Nội 10000 Việt Nam",-1,"Bữa sáng, Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d9776332-Reviews-Eurosian_Coffee-Hanoi.html
An Biên Eatery,-1,-1,"111 Trieu Viet Vuong, Hà Nội Việt Nam",-1,"Giao hàng, Cửa hàng bán thức ăn mang về, Đặt chỗ, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe đường phố, Có ghế ăn cho bé, Chấp nhận thẻ Mastercard, Chấp nhận thẻ Visa, Thanh toán điện tử, Wifi miễn phí, Chấp nhận thẻ tín dụng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25806565-Reviews-An_Bien_Eatery-Hanoi.html
Bánh Mì Phố,-1,-1,"21 Phạm Ngọc Thạch Đống Đa, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/24/df/99/getlstd-property-photo.jpg,20.000 ₫ - 42.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19523445-Reviews-Banh_Mi_Pho-Hanoi.html
Bar Walk,-1,-1,"81 Bui Thi Xuan, Hà Nội Việt Nam",-1,"Kiểu Nhật, Quầy rượu vang",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d13115106-Reviews-Bar_Walk-Hanoi.html
Kichi Kichi,-1,-1,"Vincom Center, Nguyen Chi Thanh L5-08, 5th Floor, Hà Nội 10000 Việt Nam",-1,150 ₫ - 250 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10834234-Reviews-Kichi_Kichi-Hanoi.html
1986's Wine Lounge - Restaurant,-1,-1,"Trích Sài, Tây Hồ 117, Hà Nội 00000 Việt Nam",-1,"Giao hàng, Đặt chỗ, Ngồi ngoài trời, Bữa ăn tự chọn, Ăn tối phòng riêng, Chỗ ngồi, Có bãi đỗ xe, Bãi đỗ xe có vé, Đỗ xe có người coi, Phục vụ đồ uống có cồn, Rượu và bia, Chấp nhận thẻ Mastercard, Chỉ chấp nhận tiền mặt, Wifi miễn phí, Chấp nhận thẻ tín dụng, Quán bar có nhạc jazz, Dịch vụ mua hàng trực tiếp trên xe, Có thẻ quà tặng",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d25403674-Reviews-1986_s_Wine_Lounge_Restaurant-Hanoi.html
Quán Bún Riêu Huyền Thu,-1,-1,"2F Quang Trung, Trần Hưng Đạo, Hoàn Kiếm, Hà Nội Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11997699-Reviews-Bun_Rieu_Huyen_Thu_Restaurant-Hanoi.html
San Fu Lou - Vincom Trần Duy Hưng,-1,-1,"119 Trần Duy Hưng Vincom Trần Duy Hưng, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/1a/ac/14/02/getlstd-property-photo.jpg,50.000 ₫ - 300.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d19941605-Reviews-San_Fu_Lou_Vincom_Tr_n_Duy_Hung-Hanoi.html
Nhà Hàng Thái Sayam Chang,-1,-1,"81 Nguyễn Chí Thanh, Hà Nội Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/0e/60/18/4d/tom-su-s-t-gieng.jpg,"Bữa trưa, Bữa tối",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d11950934-Reviews-Nha_Hang_Thai_Sayam_Chang-Hanoi.html
